8,12,18.0,-,32,34,0,7.8,Ru55,OC,,17,,
18,24,36.0,-,19,44,0,7.8,Tr33/Cr378,OC,,7,,
14,3,12.4,+,54,20,58,7.9,M101/NGC5457,GX,14.9,29,27,26.0
0,15,8.0,-,39,13,10,7.9,NGC55/PGC1014,GX,13.3,31,6,108.0
15,5,30.5,-,55,36,13,7.9,NGC5823,OC,,12,,
23,11,4.2,+,60,34,8,7.9,NGC7510,OC,,7,,
20,20,24.0,+,38,42,0,7.9,Berk86,OC,,8,,
6,25,30.0,+,19,46,0,7.9,Bochum1,OC,,26,,
10,47,18.0,-,60,6,0,7.9,Bochum11,OC,,22,,
15,50,42.0,-,57,40,0,7.9,Cr292,OC,,16,,
13,24,54.0,-,62,26,0,7.9,Loden807,OC,,20,,
7,20,6.0,-,21,52,54,7.9,NGC2367,OC,,5,,
7,33,12.8,-,15,27,14,7.9,NGC2414,OC,,6,,
7,56,15.9,-,30,3,51,7.9,NGC2489,OC,,5,,
18,18,37.7,-,52,12,52,7.9,NGC6584,GC,11.8,7,,
1,44,24.0,+,60,40,12,7.9,NGC659,OC,,6,,
19,51,0.0,+,23,6,0,7.9,NGC6830,OC,,6,,
1,58,33.0,+,55,28,24,7.9,NGC744,OC,,5,,
14,31,12.0,-,61,10,0,7.9,Tr22/Cr283,OC,,7,,
7,27,18.0,-,24,0,0,7.9,Tr7/Cr146,OC,,5,,
20,51,0.0,+,44,24,6,8.0,IC5070,BN[EN],16.5,60,50,
12,39,59.3,-,11,37,21,8.0,M104/NGC4594/Sombrero_Galaxy,GX,11.6,9,4,89.0
18,45,15.0,-,9,23,6,8.0,M26/NGC6694,OC,12.0,8,,
5,46,45.0,+,0,4,48,8.0,M78/NGC2068,BN,12.0,8,6,
21,4,10.8,-,11,21,47,8.0,NGC7009/PK37-34.1/Saturn_Nebula,PN,6.5,1,,
17,38,12.0,-,37,34,0,8.0,Cr338,OC,,25,,
14,50,42.0,-,52,15,0,8.0,Hogg18,OC,,3,,
10,42,6.0,-,65,6,0,8.0,Mel101/Cr101,OC,,14,,
5,47,7.2,+,0,17,39,8.0,NGC2071,BN,11.6,7,5,
7,23,56.0,-,13,15,48,8.0,NGC2374,OC,,12,,
7,27,12.8,+,13,36,30,8.0,NGC2395,OC,,15,,
15,28,0.5,-,50,40,20,8.0,NGC5927,GC,11.6,6,,
17,0,45.3,-,44,39,18,8.0,NGC6259,OC,,15,,
18,7,22.0,-,23,17,48,8.0,NGC6546,OC,,15,,
18,32,49.0,-,17,13,42,8.0,NGC6647,OC,,,,
20,11,18.0,+,35,51,0,8.0,NGC6883,OC,,35,,
9,51,18.0,-,53,11,0,8.0,Pismis16,OC,,2,,
0,40,22.1,+,41,41,7,8.1,M110/NGC205,GX,13.7,20,12,170.0
0,42,41.8,+,40,51,57,8.1,M32/NGC221,GX,12.2,8,6,179.0
0,47,30.0,+,85,15,30,8.1,NGC188,OC,,15,,
